state,court,name,birth_date,start_date,end_date,mandatory_retirement,chief_justice,chief_term,ticket_party,appointer_name,appointer_party,law_school,source_url,scraped_at
Alabama,Supreme Court of Alabama,Sarah Hicks Stewart,"April 26, 1963","January 11, 2019",2030,,True,,Republican,,,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Greg Shaw,"March 21, 1957","January 20, 2009",2026,,False,,Republican,,,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Alisa Kelli Wise,"December 14, 1962","January 17, 2011",2028,,False,,Republican,,,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Tommy Bryan,"May 16, 1956","January 11, 2013",2030,,False,,Republican,,,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Will Sellers,"February 10, 1963","May 25, 2017",2030,,False,,Republican,Kay Ivey,R,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Brady E. Mendheim Jr.,"July 26, 1968","January 15, 2019",2026,,False,,Republican,Kay Ivey,R,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Greg Cook,1962 or 1963,"January 17, 2023",2028,,False,,Republican,,,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Chris McCool,1967 or 1968,"January 24, 2025",2030,,False,,Republican,,,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alabama,Supreme Court of Alabama,Will Parker,,"November 10, 2025",2026,,False,,Republican,Kay Ivey,R,,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-17T21:38:33.316517+00:00
Alaska,Alaska Supreme Court,Susan M. Carney,"June 17, 1961","August 26, 2016",2030,2031,True,2025–present,,Bill Walker,I,Harvard,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-17T21:38:33.691610+00:00
Alaska,Alaska Supreme Court,Dario Borghesan,"December 11, 1979","July 1, 2020",2034,2049,False,,,Mike Dunleavy,R,Michigan,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-17T21:38:33.691610+00:00
Alaska,Alaska Supreme Court,Jennifer S. Henderson,"June 10, 1976","July 7, 2021",2034,2046,False,,,Mike Dunleavy,R,Yale,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-17T21:38:33.691610+00:00
Alaska,Alaska Supreme Court,Jude Pate,1965,"March 22, 2023",2026,2035,False,,,Mike Dunleavy,R,Lewis and Clark,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-17T21:38:33.691610+00:00
Alaska,Alaska Supreme Court,Aimee A. Oravec,"July 28, 1971","January 31, 2025",2028,2041,False,,,Mike Dunleavy,R,WashU,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-17T21:38:33.691610+00:00
Arizona,Arizona Supreme Court,Ann Timmer,"September 12, 1960","October 12, 2012",2028,2030,True,,,Jan Brewer,R,,https://en.wikipedia.org/wiki/Arizona_Supreme_Court,2026-05-17T21:38:33.918212+00:00
